Loan_ID,Issue_Date,Loan_Amount,Interest_Rate,Term,Annual_Income,Employment_Length,Purpose,Loan_Status
CST100,5/30/2021,126958,13.6,36 months,194358,10+ years,Medical,Fully Paid
CST101,1/26/2019,151867,21.75,60 months,127120,1-3 years,Education,Current
CST102,8/13/2022,136932,17.73,60 months,107092,10+ years,Home Improvement,Fully Paid
CST103,3/15/2021,370838,12.95,36 months,145773,5-10 years,Education,Fully Paid
CST104,8/3/2020,264178,22.22,36 months,15520,5-10 years,Credit Card,Fully Paid
CST105,8/29/2022,124879,19.62,60 months,37436,3-5 years,Education,Current
CST106,12/28/2016,115268,10.49,60 months,110070,3-5 years,Small Business,Current
CST107,4/13/2023,212892,17.77,60 months,52625,10+ years,Small Business,Fully Paid
CST108,10/1/2023,59886,22.64,36 months,81526,3-5 years,Education,Fully Paid
CST109,12/23/2018,142337,15.19,60 months,44652,3-5 years,Small Business,Current
CST110,8/9/2023,480602,19.34,60 months,33244,1-3 years,Vacation,Fully Paid
CST111,7/2/2020,435410,23.49,36 months,52165,3-5 years,Debt Consolidation,Charged Off
CST112,1/5/2015,92498,18.58,36 months,159018,1-3 years,Debt Consolidation,Late
CST113,7/15/2016,379871,8.29,36 months,95740,1-3 years,Vacation,Fully Paid
CST114,11/16/2020,393468,10.78,36 months,25572,3-5 years,Small Business,Fully Paid
CST115,3/5/2019,180203,16.91,60 months,148618,3-5 years,Home Improvement,Fully Paid
CST116,2/16/2017,196335,11.32,36 months,23768,1-3 years,Home Improvement,Fully Paid
CST117,2/9/2017,283167,23.26,36 months,83741,1-3 years,Home Improvement,Charged Off
CST118,3/5/2015,46090,13.59,36 months,194499,10+ years,Car Loan,Fully Paid
CST119,10/1/2020,334365,14.5,36 months,174058,5-10 years,Small Business,Charged Off
CST120,11/19/2017,69820,18.78,60 months,138195,3-5 years,Home Improvement,Fully Paid
CST121,4/21/2020,267913,15.67,36 months,166954,1-3 years,Vacation,Fully Paid
CST122,11/3/2023,326879,13.19,36 months,100694,< 1 year,Medical,Charged Off
CST123,10/10/2016,199027,7.84,60 months,197157,3-5 years,Small Business,Fully Paid
CST124,4/11/2016,332069,16.94,36 months,30174,3-5 years,Education,Fully Paid
CST125,11/21/2018,257709,21.68,36 months,92040,3-5 years,Credit Card,Current
